fill_level,duration_to_full,crowded_location,weekly_frequency,need_transport
40,25,0,4,0
102,74,1,7,1
5,29,0,3,0
51,47,0,1,0
26,47,1,4,0
63,60,0,3,0
97,32,0,2,0
58,25,0,2,0
55,36,0,3,0
65,70,1,1,0
69,43,0,2,0
122,75,1,6,1
32,26,0,3,0
52,26,0,3,0
21,55,0,2,0
20,41,0,1,0
77,34,1,5,0
70,35,1,2,0
3,58,0,4,0
93,46,0,4,1
87,52,1,4,1
61,39,0,2,0
61,52,0,2,0
93,34,0,4,1
107,69,1,3,0
26,41,1,2,0
83,74,1,4,1
8,37,0,5,0
2,6,0,1,0
35,42,1,4,0
49,47,1,3,0
102,70,1,3,0
42,27,1,5,0
23,39,0,5,0
96,57,1,2,0
5,17,0,4,1
78,71,1,7,0
83,50,0,4,1
118,51,1,4,1
86,63,1,3,0
15,6,1,5,0
79,57,1,4,0
5,43,0,5,0
105,55,1,5,1
50,60,0,5,0
61,69,0,2,0
56,29,0,4,0
65,53,0,4,0
106,71,1,3,0
74,74,0,5,0
7,48,0,4,0
25,58,0,1,0
68,59,1,6,1
70,30,1,6,0
48,17,1,4,0
19,10,1,5,0
69,28,0,2,0
25,15,0,4,0
68,28,1,5,0
18,43,0,2,0
83,55,0,2,0
96,56,0,3,0
26,50,1,4,0
27,59,1,4,0
46,26,0,3,0
22,17,1,1,0
90,32,1,5,1
22,59,1,6,0
90,52,1,4,1
52,34,1,3,0
36,56,0,5,0
15,11,1,4,0
99,35,0,3,0
76,39,0,5,0
29,25,1,5,0
32,13,0,1,0
5,10,0,1,1
49,36,0,2,0
10,30,1,5,0
5,7,1,1,0
22,50,0,3,0
34,51,1,6,0
55,28,1,4,0
24,20,1,5,0
26,27,1,3,0
39,63,0,4,0
1,16,0,5,0
110,52,1,1,1
65,31,1,1,0
62,32,0,4,0
100,54,0,4,1
78,64,1,3,0
16,55,0,4,0
10,23,1,4,0
81,79,1,1,0
14,50,0,2,0
23,45,0,5,0
59,59,1,1,0
47,22,1,5,0
93,53,0,5,1
117,84,1,3,0
48,67,0,2,0
97,79,1,3,0
61,51,0,5,0
59,65,0,3,0
49,58,0,1,0
99,42,1,5,1
100,35,1,1,0
8,22,0,3,0
54,33,1,5,0
75,41,0,3,0
98,61,0,5,1
62,51,1,5,0
6,60,1,4,0
39,50,0,3,0
83,27,1,2,0
27,37,1,5,0
59,24,0,5,0
63,70,0,5,0
92,59,1,6,1
71,48,0,4,0
10,58,0,1,0
116,44,1,7,1
13,37,0,2,0
59,21,0,5,0
37,21,1,6,0
63,68,1,2,0
84,54,0,4,1
36,30,0,2,0
24,40,1,5,0
94,48,1,3,0
97,44,1,3,0
43,51,1,6,0
61,23,0,1,0
23,37,1,5,1
106,73,1,4,1
41,34,0,4,0
112,53,1,1,0
17,54,0,4,0
63,68,1,2,0
92,75,1,6,1
54,46,1,6,0
13,45,0,4,0
31,45,0,2,0
72,72,1,6,0
37,43,0,3,0
96,60,0,4,1
22,11,0,2,0
62,34,0,2,0
14,38,0,1,0
96,60,0,5,1
46,20,1,5,0
45,53,1,1,0
96,66,0,5,1
74,70,1,4,1
86,75,1,3,0
55,68,1,6,0
57,26,1,4,0
38,12,0,2,0
71,64,1,4,0
88,42,1,2,0
5,44,0,5,0
66,40,0,4,0
25,24,1,2,0
67,52,1,3,0
84,59,1,4,1
58,40,1,4,0
90,32,1,5,1
27,45,1,4,0
28,57,0,5,0
51,44,1,2,0
113,52,1,4,1
26,51,0,4,1
35,53,0,1,0
28,23,0,5,0
37,23,0,2,0
79,21,1,7,0
110,84,1,4,1
121,71,1,7,1
55,19,1,3,0
57,52,1,3,0
44,59,1,5,0
67,60,0,1,0
111,83,1,4,1
65,66,0,3,0
9,18,0,1,0
26,65,1,7,0
73,58,0,4,0
103,54,1,2,0
37,29,0,5,0
29,11,1,1,0
30,48,0,1,0
57,20,1,2,0
121,51,1,7,1
100,54,1,4,1
52,42,1,4,0
72,21,1,1,0
14,39,0,1,0
28,46,0,1,0
7,9,0,5,0
27,10,1,5,0
28,49,0,2,0
47,26,1,6,1
77,75,1,3,0
75,55,0,3,0
44,59,0,1,0
9,27,1,1,0
26,56,0,1,0
105,60,1,3,0
51,25,1,2,0
49,24,1,1,0
49,17,1,2,0
58,68,1,5,0
26,23,0,5,0
68,35,0,2,0
44,24,1,2,1
38,38,1,3,0
73,29,0,2,0
37,21,0,2,0
30,39,1,3,0
71,60,0,5,1
39,10,1,4,0
46,19,0,4,0
110,49,1,4,1
45,22,0,2,0
16,47,1,5,0
89,36,0,3,0
12,5,0,1,0
77,73,1,7,0
81,44,0,4,1
110,57,1,3,0
96,67,0,4,1
82,61,1,4,1
42,61,0,5,0
92,61,1,4,1
99,36,0,4,1
74,56,1,5,0
4,53,0,5,0
44,63,1,3,0
76,75,1,3,0
95,68,1,6,1
30,65,0,2,0
19,32,1,2,0
50,61,0,2,1
52,29,1,3,0
77,25,0,3,0
67,63,1,6,0
40,34,0,1,0
85,74,0,2,0
37,23,1,6,0
22,11,0,3,0
0,13,0,4,0
55,51,1,1,0
100,49,0,3,0
20,35,0,2,0
89,53,0,3,0
59,15,1,3,0
53,69,0,5,0
86,59,1,3,0
56,20,0,3,0
0,41,0,4,0
62,72,0,2,0
63,24,1,6,0
54,47,0,4,0
39,58,0,1,0
32,60,1,5,0
20,23,0,5,0
54,26,1,6,0
98,66,1,2,0
52,34,0,2,0
9,57,1,3,0
73,69,0,4,0
62,43,1,4,1
59,57,1,4,0
25,43,0,2,0
43,39,1,5,0
51,64,1,7,0
76,48,1,4,0
42,53,1,3,0
101,60,1,3,0
74,75,0,3,0
55,61,1,3,0
1,47,0,4,0
22,59,1,3,0
81,47,0,5,1
90,68,0,4,1
38,47,1,4,0
105,49,1,7,1
39,32,1,5,0
42,59,0,3,0
69,71,1,1,0
50,30,0,4,0
53,64,0,3,0
23,51,0,1,0
42,69,1,6,0
74,27,1,5,1
51,64,0,5,0
69,40,0,5,0
103,30,1,2,0
32,64,0,4,0
73,27,1,6,0
28,38,0,2,0
84,56,1,5,1
21,47,0,3,0
50,19,1,7,0
27,56,0,1,0
112,51,1,4,1
48,61,1,2,0
70,53,0,4,0
80,25,0,1,0
110,84,1,6,1
48,69,0,2,0
45,40,1,3,0
85,67,0,5,1
115,39,1,5,1
85,54,1,6,1
82,74,1,4,1
57,32,1,5,0
84,41,1,3,0
22,35,1,5,0
95,32,0,2,0
12,51,0,3,0
93,64,0,4,1
106,78,1,5,1
70,31,1,1,0
65,46,1,3,0
94,32,1,4,1
61,44,0,4,0
31,55,0,4,0
33,13,1,1,0
28,42,0,5,0
48,15,0,2,0
44,33,1,5,0
92,55,0,4,1
52,30,1,4,0
15,18,0,2,0
50,67,1,5,0
28,57,1,5,0
33,14,1,2,0
3,45,1,1,0
77,45,0,5,0
60,47,1,5,0
89,26,1,4,1
120,84,1,4,1
93,30,0,1,0
45,23,1,3,0
50,47,0,2,0
82,65,1,2,0
3,29,0,3,0
0,52,0,1,0
26,22,1,3,0
28,18,0,5,0
72,72,1,5,0
20,22,1,5,0
42,45,1,5,0
9,45,0,3,0
73,30,0,1,0
86,28,1,6,1
42,48,1,6,0
96,62,0,2,0
102,75,1,2,0
58,18,1,5,0
112,67,1,6,1
31,28,0,1,0
49,20,0,4,0
6,38,0,4,0
107,47,1,2,0
13,17,1,5,0
91,65,1,4,1
56,37,0,2,0
74,38,1,2,0
89,69,1,5,1
100,40,1,3,0
73,20,1,2,0
71,43,0,5,0
53,68,0,5,0
117,36,1,6,1
66,44,0,4,0
50,35,0,4,0
109,44,1,1,0
93,25,1,1,0
7,16,0,3,0
44,21,1,4,0
34,24,0,5,0
103,50,1,2,0
87,43,0,3,0
104,58,1,2,0
31,34,0,3,0
45,47,0,3,0
15,53,0,3,0
73,51,1,4,0
36,58,0,2,0
53,49,0,4,0
92,68,1,5,1
25,47,1,5,0
94,50,0,3,0
54,25,0,3,1
64,54,1,4,0
85,32,1,3,1
18,50,1,1,0
76,33,1,4,0
7,14,1,1,0
32,11,0,3,0
37,55,1,5,0
84,33,0,3,0
18,7,0,2,0
18,25,0,3,0
43,40,1,1,0
28,17,0,4,0
59,62,0,4,0
89,26,1,5,1
1,10,0,1,0
0,32,0,3,0
51,67,1,6,0
68,48,0,1,0
19,30,0,4,0
10,29,0,3,0
11,16,1,5,0
87,29,1,7,1
109,63,1,6,1
11,52,0,4,0
19,41,0,1,0
25,24,1,1,0
36,53,0,1,0
37,45,0,4,0
93,39,1,3,0
11,47,1,5,0
97,72,0,5,1
52,37,0,3,0
43,20,0,1,0
110,75,1,5,1
107,79,1,2,0
35,53,1,5,0
92,67,1,3,0
73,64,0,4,0
30,30,1,5,0
66,42,1,3,0
109,72,1,1,0
102,84,1,7,1
86,40,1,3,0
80,71,0,5,0
13,57,0,1,0
11,19,1,4,0
39,34,0,3,0
82,60,1,5,1
26,20,1,3,0
72,70,0,5,0
21,24,0,5,0
30,13,1,5,0
30,30,1,4,0
68,32,1,5,0
28,31,0,3,0
108,48,1,6,1
106,63,1,1,0
63,33,1,5,0
74,23,0,5,0
76,67,1,1,0
38,62,1,7,0
84,76,0,1,0
62,65,1,5,0
99,51,1,3,0
40,43,0,1,0
40,61,1,3,0
33,37,0,1,0
16,39,0,5,0
56,22,1,6,0
51,30,1,6,0
85,66,1,3,0
88,60,1,5,1
85,54,0,2,0
96,42,1,5,1
26,11,0,5,0
80,73,1,5,0
46,27,1,5,0
26,13,1,6,0
90,50,0,1,0
60,44,1,6,0
106,59,1,4,1
31,20,1,6,0
63,26,1,4,0
70,50,0,4,0
23,53,1,4,0
44,24,0,4,0
16,43,0,5,0
25,22,0,3,0
84,55,0,4,1
91,31,0,2,0
61,75,0,2,0
65,68,1,5,1
63,61,0,1,0
1,46,0,1,0
53,70,0,1,0
73,55,1,3,0
63,39,1,3,0
52,18,0,5,0
47,68,1,6,0
25,16,0,2,0
28,63,0,3,0
24,10,1,4,0
10,48,0,4,0
44,70,1,4,0
33,54,1,3,0
35,51,0,1,0
58,61,0,5,0
39,22,1,7,0
98,79,0,1,0
53,36,0,3,0
97,78,0,3,0
75,40,1,6,0
39,31,1,4,0
21,37,0,1,0
71,28,1,5,0
68,45,1,6,0
41,23,1,1,0
37,24,1,3,0
43,24,1,3,0
82,48,0,4,1
98,66,0,4,1
80,32,0,1,0
63,43,1,4,0
111,45,1,5,1
72,68,0,5,0
30,35,1,2,0
65,46,0,2,0
72,56,0,3,0
72,23,0,1,0
55,64,1,1,0
27,33,1,5,0
0,23,0,1,0
88,60,0,1,0
60,58,0,1,0
42,24,0,5,0
62,44,1,3,0
43,32,1,4,0
38,28,0,1,0
34,45,0,5,0
25,19,1,3,0
128,67,1,4,1
43,69,0,3,0
50,64,0,5,1
93,29,0,5,1
107,76,1,3,0
35,58,1,4,0
21,44,1,4,0
100,73,0,4,1
43,48,0,5,0
83,57,1,6,1
75,74,1,5,0
60,40,0,4,0
41,31,1,7,0
78,41,1,2,0
56,62,0,5,0
54,51,1,2,0
46,29,0,4,0
11,39,0,2,0
61,47,0,5,0
79,26,0,1,1
87,56,0,3,0
82,35,0,5,1
7,14,0,1,0
113,38,1,6,1
20,23,0,2,0
80,37,0,2,0
108,54,1,3,0
127,36,1,5,1
94,59,1,3,0
69,26,0,4,0
85,45,1,4,1
24,27,0,5,0
81,27,0,3,0
88,66,0,4,1
11,58,0,4,0
30,48,1,1,0
65,60,1,1,0
25,58,0,4,0
25,20,0,2,0
46,53,0,3,0
58,38,1,2,0
9,50,0,2,0
15,23,0,5,0
95,28,1,3,0
27,35,1,4,0
22,47,0,2,0
51,56,1,5,0
105,61,1,4,1
85,63,0,5,1
26,54,1,4,0
13,50,0,2,0
87,60,1,5,1
6,44,0,1,0
8,41,0,1,0
47,47,0,4,0
97,60,1,4,1
58,17,0,4,0
100,38,1,3,0
92,32,0,5,1
81,57,0,2,0
123,40,1,5,1
93,65,0,3,0
38,48,0,2,0
106,33,1,2,0
17,17,0,1,1
58,63,0,4,0
16,6,0,3,0
13,9,0,3,0
31,53,1,3,0
27,36,1,6,0
98,56,0,2,0
64,40,1,5,0
44,22,0,5,0
103,67,1,1,0
2,12,0,1,0
36,59,0,1,0
42,17,0,4,0
39,63,0,5,0
89,68,0,3,0
54,17,0,2,0
106,51,1,5,1
38,15,0,3,0
38,11,1,6,0
3,27,0,1,0
92,68,1,5,1
107,31,1,3,0
49,52,1,4,0
12,21,0,4,0
81,59,0,2,0
38,43,1,4,0
15,27,0,3,0
60,49,1,5,0
65,71,0,4,0
78,27,1,2,0
127,56,1,3,0
41,58,0,2,0
44,50,1,4,0
29,14,0,1,0
27,22,1,4,0
27,38,1,4,0
17,35,0,1,0
31,56,0,2,0
95,79,0,4,1
108,45,1,6,1
38,51,0,4,0
65,49,1,6,0
31,64,1,1,0
61,35,0,1,0
92,36,0,4,1
73,36,1,3,0
62,35,1,7,0
15,16,0,2,0
55,22,0,4,0
9,24,0,2,0
29,12,0,4,0
24,25,0,3,0
86,54,1,3,0
18,49,1,5,0
82,47,1,5,1
101,57,1,3,0
48,65,0,1,0
2,44,0,5,0
44,68,0,2,0
23,14,1,5,0
36,29,1,5,0
67,59,0,1,0
17,60,0,4,0
61,63,1,1,0
58,15,1,7,0
24,39,0,2,0
47,35,0,5,0
88,44,1,4,1
52,20,0,3,0
78,41,0,3,0
72,37,0,5,0
37,17,1,5,0
55,53,1,3,0
99,56,1,4,1
88,57,1,4,1
37,62,1,5,0
61,35,1,4,0
43,26,1,5,0
60,57,0,2,0
100,81,0,3,0
42,48,0,5,0
69,33,0,5,0
38,45,0,2,0
55,47,0,5,0
62,42,0,2,0
47,64,1,7,0
115,74,1,5,1
10,6,0,2,0
61,60,0,4,0
84,45,1,7,1
97,26,0,3,0
24,36,0,4,0
98,33,1,3,0
51,15,0,4,0
4,15,1,3,0
58,17,0,1,0
72,71,1,5,0
46,37,1,6,0
104,55,1,5,1
62,23,0,4,0
67,37,1,3,0
73,74,0,5,0
97,30,0,4,1
56,49,0,5,0
89,46,0,5,1
67,62,1,3,0
24,24,1,2,1
5,26,0,5,0
4,41,0,2,0
15,56,1,6,0
53,56,0,5,0
71,31,1,3,0
86,71,0,3,0
48,63,0,3,0
11,46,1,3,0
98,62,0,2,0
44,32,1,6,1
60,64,0,3,0
34,44,0,2,0
49,44,0,1,0
88,48,1,7,1
61,61,0,4,0
16,34,0,5,0
87,38,0,4,1
2,10,0,3,0
39,12,1,5,0
120,50,1,5,1
12,11,0,1,0
92,76,1,6,1
72,33,0,5,0
67,28,0,3,0
13,19,0,5,0
123,55,1,3,0
116,64,1,3,0
27,11,1,4,0
65,46,1,4,0
80,26,1,5,0
118,64,1,3,0
49,32,1,5,0
16,18,1,5,0
82,44,1,2,0
24,27,0,1,0
123,44,1,2,0
100,54,1,5,1
52,16,1,6,0
14,29,1,5,0
87,78,1,5,1
63,52,1,5,0
49,50,1,3,0
28,40,1,7,0
19,18,1,5,0
84,25,1,5,1
109,75,1,3,0
87,40,0,5,1
78,73,0,2,0
55,60,1,5,0
81,76,1,6,1
4,7,0,4,0
